Rank,School,Town,Type,A-level(%A*),A-level(% A*/A),A-level(%A*/B),A-level_rank,GCSE_(%9/8/7),GCSE_rank,FINAL URL ,corrected name,KS2ASS,ATT8SCR
53,"St Mary's Grammar School, Magherafelt",Magherafelt,Selective (100%),17.8,51.5,83.2,38=,63.3,96,999999,not an English school,#N/A,#N/A
171,Clitheroe Royal Grammar School,Clitheroe,Selective (100%),9,31.9,59,267,63,97,136390,Clitheroe Royal Grammar School,113.5,72.8
63,Tunbridge Wells Girls' Grammar School,Tunbridge Wells,Selective (100%),17.1,49.3,81.5,51,62.7,98,118789,Tunbridge Wells Girls' Grammar School,111.1,70.1
49,The Rochester Grammar School,Rochester,Selective (100%),14.3,49.5,84.1,35,62.5,99,136313,The Rochester Grammar School,112.5,71.6
111,Invicta Grammar School,Maidstone,Selective (100%),11.7,35.6,69.7,141,62.3,100,136582,Invicta Grammar School,112,71.1
78,Ballymena Academy,Ballymena,Selective (100%),12.6,44.7,76.8,71,62,101,999999,not an English school,#N/A,#N/A
114,Lancaster Royal Grammar School,Lancaster,Selective (100%),15.5,40.1,69.6,143,61.8,102,136742,Lancaster Royal Grammar School,112.6,72
208,Beths Grammar School,Bexley,Selective (100%),6.4,24.9,54.8,321,61.6,103,136334,Beths Grammar School,113.4,72
59,Tauheedul Islam Girls' High School and Sixth Form College,Blackburn,Comprehensive,15.2,54.3,82.7,45,61.2,104,141565,Tauheedul Islam Girls' High School,106.5,70.8
95,Haberdashers' Adams,Newport,Selective (100%),-,47,75,88,61,105,137446,Haberdashers' Adams,113.4,71.2
152,Weald of Kent Grammar School,Tonbridge,Selective (100%),8.3,31.4,64.4,205,60.2,106,136455,Weald of Kent Grammar School,111.6,70.1
143,Alexandra Park School,London,Comprehensive,-,35,66,184,60,107,137531,Alexandra Park School,107.3,61.2
51,St Louis Grammar School,Ballymena,Selective (100%),-,-,85,29=,60,107,999999,not an English school,#N/A,#N/A
175,Royal School Armagh,Armagh,Selective (100%),-,35.2,60.1,252=,60,107,999999,not an English school,#N/A,#N/A
133,Marling School,Stroud,Selective (100%),13.6,37.1,68.1,155,59.5,110,137123,Marling School,112.3,71.3
116,Dalriada School,Ballymoney,Selective (100%),14.8,40.7,70.4,133=,59.4,111,999999,not an English school,#N/A,#N/A
93,Parmiter's School,Watford,Partially selective (35%),16.9,49.9,76.2,76,59.3,112,136899,Parmiter's School,110.4,68.3
138,"Waldegrave School, Twickenham",London,Comprehensive,9.9,35.7,67.5,164=,58.9,113,138461,Waldegrave School,108.7,64
