year,record,primary_area,LA,STTS,grammar_req,EthCode,review
2017,365,!,Buckinghamshire,123,Y,WHB,AppendedBlankField
2017,366,!,Buckinghamshire,102,NotYes,WHB,AppendedBlankField
2017,367,!,Buckinghamshire,105,NotYes,WHB,AppendedBlankField
2017,368,!,Buckinghamshire,122,Y,CHE,AppendedBlankField
2017,369,!,Buckinghamshire,132,Y,WHB,AppendedBlankField
2017,370,!,Out,158,Y,AIN,AppendedBlankField
2017,371,!,Out,132,Y,AIN,AppendedBlankField
2017,372,!,Out,156,Y,BLF,AppendedBlankField
2017,373,!,Buckinghamshire,58,NotYes,MOT,AppendedBlankField
2017,374,!,Buckinghamshire,102,NotYes,APK,No
2017,375,!,Buckinghamshire,61,NotYes,BLF,AppendedBlankField
2017,376,!,Buckinghamshire,92,NotYes,APK,AppendedBlankField
2017,377,!,Buckinghamshire,58,NotYes,WHB,AppendedBlankField
2017,378,!,Buckinghamshire,54,NotYes,WHB,AppendedBlankField
2017,379,!,Buckinghamshire,12,NotYes,WHB,AppendedBlankField
2017,380,!,Buckinghamshire,29,NotYes,WHB,AppendedBlankField
2017,381,!,Buckinghamshire,13,NotYes,WHB,AppendedBlankField
2017,382,!,Buckinghamshire,35,NotYes,WHB,AppendedBlankField
2017,383,!,Buckinghamshire,59,NotYes,WHB,AppendedBlankField
2017,384,!,Buckinghamshire,33,NotYes,WHB,AppendedBlankField
2017,385,!,Buckinghamshire,46,NotYes,WHB,AppendedBlankField
2017,386,!,Buckinghamshire,56,NotYes,APK,AppendedBlankField
2017,387,!,Buckinghamshire,50,NotYes,WHA,AppendedBlankField
2017,388,!,Buckinghamshire,47,NotYes,APK,AppendedBlankField
2017,389,!,Buckinghamshire,127,Y,WHB,AppendedBlankField
2017,390,!,Buckinghamshire,40,NotYes,WHB,AppendedBlankField
2017,391,!,Buckinghamshire,23,NotYes,MBA,AppendedBlankField
2017,392,!,Buckinghamshire,54,NotYes,AAO,AppendedBlankField
2017,393,!,Buckinghamshire,70,NotYes,WHB,AppendedBlankField
2017,394,!,Buckinghamshire,53,NotYes,WHB,AppendedBlankField
2017,395,!,Buckinghamshire,91,NotYes,WHB,AppendedBlankField
